bootstrap_size,no_features,max_depth,no_trees,ouralgorithm_accuracy,sklearn_accuracy
5400,30,20,100,0.925666667,0.946333333
13500,40,25,30,0.9305,0.951166667
5400,30,25,100,0.926666667,0.9475
5400,40,20,30,0.915,0.935833333
5400,30,15,100,0.924833333,0.945666667
13500,30,25,100,0.936833333,0.958
27000,40,25,20,0.930833333,0.952
5400,30,10,100,0.912666667,0.934
13500,30,15,100,0.935166667,0.9565
27000,30,20,100,0.943,0.9645
13500,30,10,100,0.918333333,0.939833333
5400,30,5,100,0.825666667,0.8475
5400,40,5,40,0.8215,0.843333333
5400,40,10,30,0.906333333,0.928166667
5400,50,20,10,0.881,0.903333333
27000,30,5,100,0.8235,0.846166667
5400,50,15,10,0.8805,0.903333333
5400,50,5,20,0.8055,0.828833333
27000,30,15,100,0.939,0.963166667
5400,40,15,20,0.900666667,0.925
5400,40,5,30,0.812,0.836833333
13500,50,5,30,0.8115,0.836833333
5400,50,25,10,0.881,0.907
5400,50,10,10,0.8765,0.903333333
13500,30,5,50,0.813166667,0.840166667
5400,40,25,20,0.902,0.929166667
13500,30,10,40,0.907166667,0.934666667
5400,40,5,20,0.798666667,0.826166667
27000,40,20,20,0.929666667,0.957333333
5400,40,20,20,0.901833333,0.9295
27000,30,10,30,0.908333333,0.936166667
13500,30,10,50,0.909166667,0.937333333
27000,30,25,50,0.932333333,0.9605
27000,50,10,10,0.897166667,0.9255
13500,40,20,20,0.913833333,0.942333333
13500,40,5,30,0.801666667,0.8305
13500,40,10,20,0.902833333,0.931833333
27000,30,20,50,0.931666667,0.960833333
27000,30,5,40,0.810333333,0.839666667
5400,40,10,20,0.892333333,0.921833333
5400,30,25,50,0.913,0.943166667
13500,50,15,10,0.8965,0.926666667
5400,30,15,50,0.911666667,0.942
5400,30,20,50,0.912666667,0.943166667
27000,30,15,50,0.9285,0.959
13500,30,10,30,0.900666667,0.932
13500,30,15,40,0.9175,0.949166667
27000,40,5,20,0.802333333,0.834333333
13500,40,15,20,0.914,0.946166667
13500,50,20,10,0.894833333,0.927
27000,30,15,40,0.925166667,0.9575
13500,50,25,10,0.8945,0.926833333
13500,30,15,50,0.918666667,0.951166667
13500,30,25,50,0.9225,0.955166667
13500,30,25,40,0.919833333,0.9525
13500,40,25,20,0.9145,0.947333333
13500,30,20,50,0.921333333,0.954166667
13500,30,20,40,0.9195,0.952666667
27000,50,15,10,0.903666667,0.937
5400,30,5,50,0.808166667,0.841666667
13500,50,10,10,0.887666667,0.921166667
27000,50,20,10,0.907,0.941166667
13500,30,20,30,0.911333333,0.945666667
27000,30,25,40,0.925833333,0.960333333
5400,30,5,40,0.802833333,0.837666667
13500,50,5,20,0.797,0.832166667
27000,30,15,30,0.9195,0.954666667
13500,30,5,40,0.805833333,0.841
5400,30,10,50,0.895166667,0.9305
27000,30,5,50,0.808,0.843333333
27000,30,20,40,0.924833333,0.960333333
27000,50,25,10,0.906666667,0.9425
5400,30,10,40,0.892,0.927833333
27000,50,5,10,0.762,0.798
13500,20,5,100,0.8085,0.845666667
13500,30,25,30,0.911,0.9485
27000,30,20,30,0.919,0.957
5400,40,5,10,0.762166667,0.800333333
27000,30,10,20,0.894833333,0.933666667
13500,30,15,30,0.908166667,0.9475
27000,40,10,10,0.8845,0.923833333
13500,40,5,20,0.792833333,0.832166667
5400,30,15,40,0.9005,0.94
5400,50,5,10,0.757833333,0.7975
5400,40,15,10,0.864166667,0.9045
5400,30,20,40,0.9005,0.941
27000,30,5,30,0.798333333,0.839
13500,20,5,40,0.794166667,0.835
13500,30,5,30,0.792,0.832833333
27000,30,25,30,0.917833333,0.959
5400,30,25,40,0.900333333,0.941666667
13500,40,20,10,0.882833333,0.9245
13500,30,5,20,0.784833333,0.827833333
5400,40,25,10,0.863833333,0.906833333
13500,40,15,10,0.8845,0.927666667
13500,20,5,50,0.797666667,0.841166667
5400,40,10,10,0.8595,0.903166667
13500,40,25,10,0.8835,0.927333333
5400,30,15,30,0.889833333,0.935666667
13500,30,10,20,0.882666667,0.929
5400,40,20,10,0.864,0.910333333
5400,30,5,20,0.777166667,0.824166667
27000,40,25,10,0.895166667,0.942166667
27000,40,15,10,0.890833333,0.937833333
5400,30,20,30,0.8885,0.935666667
5400,30,10,30,0.880166667,0.927666667
27000,30,15,20,0.904666667,0.952333333
5400,20,25,100,0.896333333,0.944
5400,30,5,30,0.7875,0.835666667
13500,40,10,10,0.869333333,0.918
13500,20,10,100,0.886333333,0.935
